交易日期,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌幅(%),换手率(%)
2024-12-30,34.65,34.95,33.7,34.45,156035423,5383129856.0,0.88,0.76
2024-12-31,34.45,34.8,34.05,34.5,57271083,1975642880.0,0.15,0.28
2025-01-02,34.8,34.8,33.4,34.0,182385452,6214923776.0,-1.45,0.89
2025-01-03,34.45,36.3,34.0,36.25,338723920,12050302464.0,6.62,1.65
2025-01-06,35.9,36.85,35.65,36.3,166161841,6032798720.0,0.14,0.81
2025-01-07,36.05,36.1,32.75,34.15,432842000,14798885632.0,-5.92,2.1
2025-01-08,33.7,34.15,32.2,32.8,298899136,9832851200.0,-3.95,1.45
2025-01-09,32.7,34.3,32.65,33.75,171639459,5785071360.0,2.9,0.83
2025-01-10,33.75,34.5,33.4,33.55,122895840,4159924800.0,-0.59,0.6
2025-01-13,33.2,33.5,32.3,32.8,126426992,4143955552.0,-2.24,0.61
2025-01-14,32.75,34.15,32.75,33.75,122182323,4101617776.0,2.9,0.59
2025-01-15,33.75,34.0,33.35,33.6,79201609,2659914464.0,-0.44,0.38
2025-01-16,34.1,34.8,33.55,34.35,137814016,4724076800.0,2.23,0.67
2025-01-17,34.4,35.0,34.1,34.95,94838569,3291242160.0,1.75,0.46
2025-01-20,35.65,35.8,34.3,34.7,166721242,5782327296.0,-0.72,0.81
2025-01-21,35.0,36.1,34.75,35.9,136275839,4856778496.0,3.46,0.66
2025-01-22,36.0,36.2,35.2,35.3,106122696,3779648032.0,-1.67,0.52
2025-01-23,35.7,35.75,34.25,34.5,124771415,4342515456.0,-2.27,0.61
2025-01-24,34.75,37.3,34.5,36.85,288470064,10507543296.0,6.81,1.4
2025-01-27,37.65,37.65,36.55,37.1,154106703,5726137856.0,0.68,0.75
2025-01-28,37.85,38.45,37.55,38.3,84927933,3229363328.0,3.23,0.41
2025-02-03,38.9,39.2,37.2,37.95,143592266,5469369088.0,-0.91,0.7
2025-02-04,38.7,40.1,38.5,39.55,141166344,5571418880.0,4.22,0.69
2025-02-05,39.95,39.95,38.7,39.65,165406601,6498079232.0,0.25,0.8
2025-02-06,39.8,40.7,39.4,40.55,174418873,6995839232.0,2.27,0.85
2025-02-07,40.7,43.05,40.55,42.45,282921472,11944324864.0,4.69,1.37
2025-02-10,42.7,43.95,42.15,43.75,178623301,7739085568.0,3.06,0.87
2025-02-11,44.0,44.3,42.25,42.55,210014328,9050256128.0,-2.74,1.02
2025-02-12,43.9,44.55,42.65,44.1,196220080,8599863040.0,3.64,0.95
2025-02-13,43.9,44.6,41.2,41.65,382423056,16397650688.0,-5.56,1.86
2025-02-14,42.4,44.9,42.05,44.7,349956080,15263400192.0,7.32,1.7
2025-02-17,45.0,45.45,43.55,45.15,273310080,12154788096.0,1.01,1.33
2025-02-18,45.15,48.4,44.7,48.4,325734160,15438513152.0,7.2,1.58
2025-02-19,48.0,49.5,47.0,49.45,243337561,11841545728.0,2.17,1.18
2025-02-20,49.45,50.9,48.0,49.15,275542160,13621160960.0,-0.61,1.34
2025-02-21,50.05,51.95,49.7,51.7,308362592,15770408192.0,5.19,1.5
2025-02-24,52.2,52.35,51.05,51.6,208345620,10765241344.0,-0.19,1.01
2025-02-25,49.8,53.9,49.8,53.2,332349376,17422343168.0,3.1,1.61
2025-02-26,54.25,56.8,53.1,56.3,395453824,21844954880.0,5.83,1.92
